,지역본부,지역,명,주소,동,호,주택군 이름,주택열람일정,공급형,전용면적,주거공용면적,면적계,방수,층수,승강기유무,주택유형,성별용도구분,청년 1순위_기본 임대조건_임대보증금(원),청년 1순위_기본 임대조건_월임대료(원),청년 1순위_임대료→보증금 최대전환시_임대보증금(원),청년 1순위_임대료→보증금 최대전환시_월임대료(원),청년 2~3순위_기본 임대조건_임대보증금(원),청년 2~3순위_기본 임대조건_월임대료(원),청년 2~3순위_임대료→보증금 최대전환시_임대보증금(원),청년 2~3순위_임대료→보증금 최대전환시_월임대료(원)
17,경기북부지역본부,경기도,매입다가구(경기김포시),경기도 김포시 풍무로 128(풍무동) 웰라움퍼펙트시티,,842,김포시 풍무동(웰라움퍼펙트시티),열람불가(계약 전 주택 개방),단독(1인),21.191,28.583,49.774,1,8층,Y,오피스텔,남여공용,"1,000,000","260,270","27,700,000","104,520","2,000,000","317,850","34,600,000","127,680"
18,경기북부지역본부,경기도,매입다가구(경기김포시),경기도 김포시 김포한강1로 240(운양동) 라비드퐁네프,블루,715,김포시 운양동(라비드퐁네프),열람불가(계약 전 주택 개방),단독(1인),25.25,33.1491,58.3991,1,7층,Y,오피스텔,남여공용,"1,000,000","195,760","21,100,000","78,510","2,000,000","238,210","26,500,000","95,290"
19,경기북부지역본부,경기도,매입다가구(경기김포시),경기도 김포시 김포한강1로 238(운양동) 라비드퐁네프,레드,1105,김포시 운양동(라비드퐁네프),열람불가(계약 전 주택 개방),단독(1인),25.39,33.1954,58.5854,1,11층,Y,오피스텔,남여공용,"1,000,000","196,450","21,200,000","78,610","2,000,000","239,050","26,500,000","96,130"
20,경기북부지역본부,경기도,매입다가구(경기파주시),"경기도 파주시 시청로 20(금촌동,금촌 시티라이프) ",,301,파주시 금촌동(금촌 시티라이프),열람불가(계약 전 주택 개방),단독(1인),22.96,27.24,50.2,1,3층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","267,210","28,400,000","107,370","2,000,000","326,050","35,500,000","130,630"
21,경기북부지역본부,경기도,매입다가구(경기파주시),"경기도 파주시 시청로 20(금촌동,금촌 시티라이프) ",,312,파주시 금촌동(금촌 시티라이프),열람불가(계약 전 주택 개방),단독(1인),30.01,34.69,64.7,1,3층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","339,020","35,800,000","136,020","2,000,000","414,730","44,600,000","166,230"
22,경기북부지역본부,경기도,매입다가구(경기파주시),경기도 파주시 마무리길 77(금촌동)  천년가골든뷰 B동,,1607,파주시 금촌동(천년가골든뷰),열람불가(계약 전 주택 개방),단독(1인),20.245,30.2532,50.4982,1,16층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","256,570","27,300,000","103,150","2,000,000","312,890","34,100,000","125,640"
23,경기북부지역본부,경기도,매입다가구(경기파주시),경기도 파주시 마무리길 77(금촌동)  천년가골든뷰 B동,,1706,파주시 금촌동(천년가골든뷰),열람불가(계약 전 주택 개방),단독(1인),20.245,30.2532,50.4982,1,17층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","256,570","27,300,000","103,150","2,000,000","312,890","34,100,000","125,640"
24,경기북부지역본부,경기도,매입다가구(경기파주시),경기도 파주시 마무리길 77(금촌동) 천년가골든뷰 B동,,2104,파주시 금촌동(천년가골든뷰),열람불가(계약 전 주택 개방),단독(1인),20.245,30.2532,50.4982,1,21층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","253,070","27,000,000","101,400","2,000,000","308,750","33,700,000","123,830"
25,경기북부지역본부,경기도,매입다가구(경기파주시),경기도 파주시 마무리길 77(금촌동) 천년가골든뷰 B동,,2302,파주시 금촌동(천년가골든뷰),열람불가(계약 전 주택 개방),단독(1인),20.245,30.2532,50.4982,1,23층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","253,070","27,000,000","101,400","2,000,000","308,750","33,700,000","123,830"
26,경기북부지역본부,경기도,매입다가구(경기파주시),경기도 파주시 마무리길 77(금촌동) 천년가골든뷰 B동,,2502,파주시 금촌동(천년가골든뷰),열람불가(계약 전 주택 개방),단독(1인),20.245,30.2532,50.4982,1,25층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","253,070","27,000,000","101,400","2,000,000","308,750","33,700,000","123,830"
27,경기북부지역본부,경기도,매입다가구(경기파주시),"경기도 파주시 금정18길 17(금촌동,파주 금촌 에이스큐브) ",,424,파주시 금촌동(에이스큐브),열람불가(계약 전 주택 개방),단독(1인),15.213,18.291,33.504,1,4층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","184,340","19,900,000","74,090","2,000,000","223,500","24,900,000","89,910"
28,경기북부지역본부,경기도,매입다가구(경기파주시),"경기도 파주시 금정18길 17(금촌동,파주 금촌 에이스큐브) ",,427,파주시 금촌동(에이스큐브),열람불가(계약 전 주택 개방),단독(1인),15.213,18.291,33.504,1,4층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","184,340","19,900,000","74,090","2,000,000","223,500","24,900,000","89,910"
29,경기북부지역본부,경기도,매입다가구(경기파주시),"경기도 파주시 금정18길 17(금촌동,파주 금촌 에이스큐브) ",,523,파주시 금촌동(에이스큐브),열람불가(계약 전 주택 개방),단독(1인),15.213,18.291,33.504,1,5층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","184,340","19,900,000","74,090","2,000,000","223,500","24,900,000","89,910"
30,경기북부지역본부,경기도,매입다가구(경기파주시),"경기도 파주시 금정18길 17(금촌동,파주 금촌 에이스큐브) ",,625,파주시 금촌동(에이스큐브),열람불가(계약 전 주택 개방),단독(1인),15.213,18.291,33.504,1,6층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","184,340","19,900,000","74,090","2,000,000","223,500","24,900,000","89,910"
31,경기북부지역본부,경기도,매입다가구(경기파주시),"경기도 파주시 금정18길 17(금촌동,파주 금촌 에이스큐브) ",,825,파주시 금촌동(에이스큐브),열람불가(계약 전 주택 개방),단독(1인),15.213,18.291,33.504,1,8층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","184,340","19,900,000","74,090","2,000,000","223,500","24,900,000","89,910"
32,경기북부지역본부,경기도,매입다가구(경기파주시),"경기도 파주시 금정18길 17(금촌동,파주 금촌 에이스큐브) ",,929,파주시 금촌동(에이스큐브),열람불가(계약 전 주택 개방),단독(1인),14.117,16.9947,31.1117,1,9층,Y,도시형생활주택(원룸형),남여공용,"1,000,000","186,880","20,200,000","74,880","2,000,000","226,870","25,300,000","90,950"
33,경기북부지역본부,경기도,매입다가구(경기파주시),경기도 파주시 동산1길 7(금촌동) 백두,,302,파주시 금촌동(백두),열람불가(계약 전 주택 개방),단독(1인),53.1,6.032,59.132,2,3층,N,다가구주택,남여공용,"1,000,000","281,410","29,900,000","112,820","2,000,000","343,700","37,300,000","137,780"
34,경기북부지역본부,경기도,매입다가구(경기파주시),경기도 파주시 동산1길 7(금촌동) 백두,,401,파주시 금촌동(백두),열람불가(계약 전 주택 개방),단독(1인),44.32,5.0346,49.3546,2,4층,N,다가구주택,남여공용,"1,000,000","233,780","25,000,000","93,780","2,000,000","284,670","31,200,000","114,330"
