순번,지역본부,관리부서,지역,명,주소,호,주택군,주택열람일정,공급형,성별용도,확장면적,"전용
면적","주거공용
면적",면적계,방수,층수,"승강기
유무",주택유형,청년수급자_임대보증금,청년수급자_월임대료,청년일반_임대보증금,청년일반_월임대료,비고
170,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 장전온천천로101번길 9(장전동) 해솔랑,203,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,37.0700,8.7931,45.8631,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","335,130 ","2,000,000 ","409,420 ",
171,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 장전온천천로113번길 6(장전동) ,203호,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,,18.3900,8.8029,27.1929,1,2층,N,다가구주택,"1,000,000 ","223,250 ","2,000,000 ","274,360 ",
172,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 청룡예전로 8-11(청룡동) 에스에이치빌,203,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,24.3100,11.1621,35.4721,1,2층,Y,다세대주택,"1,000,000 ","208,110 ","2,000,000 ","252,890 ",
173,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 청룡예전로 8-11(청룡동) 에스에이치빌,302,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,21.1300,9.6989,30.8289,1,3층,Y,다세대주택,"1,000,000 ","180,040 ","2,000,000 ","218,130 ",
174,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 팔송로39번길 99(남산동) ,201,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,,15.8900,8.4700,24.3600,1,2층,N,다가구주택,"1,000,000 ","175,740 ","2,000,000 ","211,720 ",
175,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 팔송로39번길 99(남산동) ,202,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,,15.8900,8.4700,24.3600,1,2층,N,다가구주택,"1,000,000 ","169,270 ","2,000,000 ","203,640 ",
176,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 팔송로39번길 99(남산동) ,303,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,,15.8900,8.4700,24.3600,1,3층,N,다가구주택,"1,000,000 ","171,420 ","2,000,000 ","206,330 ",
177,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 팔송로53번길 23(남산동) ,201,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,19.2450,15.6920,34.9370,1,2층,N,다가구주택,"1,000,000 ","214,030 ","2,000,000 ","260,920 ",
178,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 팔송로53번길 23(남산동) ,202,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,19.2450,15.6920,34.9370,1,2층,N,다가구주택,"1,000,000 ","214,030 ","2,000,000 ","260,920 ",
179,부산울산지역본부,부산동부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산금정구),부산광역시 금정구 팔송로53번길 23(남산동) ,302,금정구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,19.2450,15.6920,34.9370,1,3층,N,다가구주택,"1,000,000 ","214,030 ","2,000,000 ","260,920 ",
